5.1	MuchoBars_1556880009354353	Mucho Bars	45	VIDEO	Our Commitment to Quality	https://muchobrands.com/products/meal-bars
5.2	MuchoBars_3464374940396831	Mucho Bars	45	VIDEO	Get Your Diet Back On Track	https://muchobrands.com/products/meal-bars
5.3	MuchoBars_1377810594207899	Mucho Bars	45	VIDEO	{{product.name}}	https://muchobrands.com/listicle-bulk-main
5.4	MuchoBars_1072537208668798	Mucho Bars	45	VIDEO	Bulking Made Easy	https://muchobrands.com/pages/listiclev2-8
5.5	Jacob_2157159488448225	Jacob	195	VIDEO	The World's Cleanest Protein Bar	https://eatjacob.com/products/jacob-bar
5.6	Jacob_946600008208805	Jacob	121	VIDEO	The World's Cleanest Protein Bar	https://eatjacob.com/products/jacob-bar
5.7	Jacob_1601936357567172	Jacob	101	VIDEO		https://eatjacob.com/products/jacob-bar
5.8	Jacob_891231950670116	Jacob	101	VIDEO		https://eatjacob.com/products/jacob-bar
5.9	Jacob_1398128625471361	Jacob	69	STATIC	Jacob Protein Bar	https://eatjacob.com/products/jacob-bar
5.10	Jacob_27665319519760253	Jacob	65	STATIC	Jacob Protein Bar	https://eatjacob.com/products/jacob-bar
6.1	Eatmancereal_1812582266781129	Eat Man Cereal	38	STATIC	40% Off Science-Backed Cereal	https://eatmancereal.com/pages/man-cereal-landing
6.2	Eatmancereal_2306255516855295	Eat Man Cereal	38	STATIC	Cereal Finally Manned Up	https://eatmancereal.com/
6.3	Eatmancereal_2088257985374826	Eat Man Cereal	29	STATIC	{{product.name}}	https://eatmancereal.com/products/salted-fudge-1-box
6.4	Eatmancereal_1562181252282966	Eat Man Cereal	29	STATIC	Cereal Finally Manned Up	https://eatmancereal.com/pages/man-cereal-landing
6.5	Eatmancereal_1790410878794537	Eat Man Cereal	29	STATIC	Cereal Finally Manned Up	https://eatmancereal.com/products/maple-bacon-6-pack
6.6	Eatmancereal_1063267839547988	Eat Man Cereal	29	STATIC	Cereal Finally Manned Up	https://eatmancereal.com/products/cinnamon-6-pack
6.7	ICONICProtein_1057581026617100	ICONIC Protein	31	VIDEO	{{product.name}}	https://www.drinkiconic.com/products/cafe-latte
6.8	ICONICProtein_1728838818454265	ICONIC Protein	29	STATIC	{{product.name}}	https://www.drinkiconic.com/products/chocolate-truffle
6.9	ICONICProtein_995753773290353	ICONIC Protein	29	STATIC	{{product.name}}	https://www.drinkiconic.com/products/vanilla-bean
6.10	ICONICProtein_1134674706176275	ICONIC Protein	10	VIDEO	{{product.name}}	https://www.drinkiconic.com/products/cacao-plus-greens
7.1	ICONICProtein_1384514047204280	ICONIC Protein	2	VIDEO	Creatine, Made ICONIC	https://www.drinkiconic.com/products/creatine
7.2	ICONICProtein_1913444696463662	ICONIC Protein	2	VIDEO	Pure Protein, No Junk	https://www.drinkiconic.com/products/vanilla-bean-protein-powder
7.3	CleanSimpleEats_1499648911168068	Clean Simple Eats	71	STATIC	{{product.name}}	https://cleansimpleeats.com/products/clear-protein-soda-classic-grape-12-oz-12-pack
7.4	CleanSimpleEats_1719734065692987	Clean Simple Eats	71	VIDEO		https://cleansimpleeats.com/products/blue-bahama-clear-protein-powder
7.5	CleanSimpleEats_1055193780173452	Clean Simple Eats	64	VIDEO		https://cleansimpleeats.com/products/peachy-ring-clear-protein-powder
7.6	CleanSimpleEats_1292820452934854	Clean Simple Eats	64	STATIC	{{product.name}}	https://cleansimpleeats.com/products/fruit-punch-clear-protein-powder-10-serving
7.7	CleanSimpleEats_1732182967787011	Clean Simple Eats	63	VIDEO		https://cleansimpleeats.com/products/fruit-punch-clear-protein-powder-10-serving
7.8	CleanSimpleEats_27848684674819948	Clean Simple Eats	56	VIDEO		https://cleansimpleeats.com/products/fruit-punch-clear-protein-powder-10-serving
7.9	Primals_1440279613858046	Primals	383	VIDEO	Stop Brushing Microplastics Into Your Bloodstream	https://try.primals.shop/cmcecjton000233cckxmysgz8
7.10	Primals_1996213214463382	Primals	383	VIDEO	Stop Brushing Microplastics Into Your Bloodstream	https://try.primals.shop/cmdy2s66x00035pznds5h3akw
8.1	Primals_745341331539498	Primals	383	STATIC	Nature Is Microplastic-Free.	https://try.primals.shop/cmdy2s66x00035pznds5h3akw
8.2	Primals_687648207629405	Primals	383	STATIC	Ditch Plastic Bristles for Good	https://try.primals.shop/cmdy2s66x00035pznds5h3akw
8.3	Primals_737012565603123	Primals	383	STATIC	Ditch Plastic Bristles for Good	https://try.primals.shop/cmcecjton000233cckxmysgz8
8.4	Primals_1196718302211983	Primals	383	VIDEO	World's Healthiest Toothbrush 🤝	https://try.primals.shop/cmcdi1j0q0002r1z329dxm21c
8.5	IM8Health_2034927480749794	IM8 Health	72	STATIC	Finally. A Body That Feels Like You Again.	https://im8health.com/products/essentials
8.6	IM8Health_1006019375565566	IM8 Health	52	VIDEO	90 Ingredients. One Daily Drink.	https://im8health.com/pages/gut-health-1
8.7	IM8Health_1004244435566459	IM8 Health	52	VIDEO	90 Ingredients. One Daily Drink.	https://im8health.com/products/essentials-pro
8.8	IM8Health_1760153155161558	IM8 Health	52	VIDEO	90 Ingredients. One Daily Drink.	https://im8health.com/pages/joints
8.9	JoinZOE_1075055478511439	Join ZOE	28	VIDEO	Try ZOE Daily30 for $33	https://zoe.com/en-us/daily30
8.10	JoinZOE_1556022276107305	Join ZOE	28	STATIC	{{product.name}}	https://zoe.com/en-us/daily30
9.1	JoinZOE_1050375724632287	Join ZOE	3	STATIC	Try ZOE Daily30 for $33	https://zoe.com/en-us/daily30
9.2	Ritual_2538078149922144	Ritual	168	VIDEO	{{product.name}}	https://ritual.com/quiz
9.3	Ritual_851485810542693	Ritual	126	STATIC	{{product.name}}	https://ritual.com/
9.4	Lemme_1549687293219536	Lemme	128	VIDEO	{{product.name}}	https://lemmelive.com/pages/relax-lp
9.5	Lemme_1671333290951632	Lemme	128	STATIC	{{product.name}}	https://get.lemmelive.com/relax-chews
9.6	Lemme_1283066816639963	Lemme	128	VIDEO	Meet Lemme Relax Chews	https://lemmelive.com/pages/relax-lp
9.7	Lemme_1652783926436884	Lemme	76	VIDEO	Growth Looks Good On You	https://lemmelive.com/pages/growchews-lp
9.8	Lemme_1058813253817515	Lemme	76	STATIC	{{product.name}}	https://lemmelive.com/pages/growchews-lp
9.9	LlamaNaturals_1360165025442504	Llama Naturals	44	VIDEO	The multivitamin made from real fruit	https://www.llamanaturals.com/pages/cold-candy-v3
9.10	LlamaNaturals_897449653408945	Llama Naturals	44	VIDEO	The multivitamin made from real fruit	https://www.llamanaturals.com/pages/cold-candy-v3
10.1	LlamaNaturals_937685789334242	Llama Naturals	35	VIDEO	{{product.name}}	https://www.llamanaturals.com/pages/cold-candy-v3
10.2	GoldenChild_1338170311601786	Golden Child	72	STATIC	{{product.name}}	https://mygoldenchild.com/fresh-dog-food/chicken-recipes
10.3	GoldenChild_1527020868862977	Golden Child	72	STATIC	{{product.name}}	https://try.mygoldenchild.com/
10.4	GoldenChild_1968502250628425	Golden Child	35	STATIC	{{product.name}}	https://mygoldenchild.com/products/chicken-and-garden-vegetables-starter-box
10.5	GoldenChild_2289237345235495	Golden Child	8	VIDEO	{{product.name}}	https://mygoldenchild.com/intake/intro
10.6	GFUEL_981551944737621	G FUEL	97	STATIC	🧙‍♂️ CRITICAL ROLE X G FUEL is live!	https://gfuel.com/products/vox-machina-collectors-box
10.7	GFUEL_1003018722189617	G FUEL	97	STATIC	THE BOYS x G FUEL	https://gfuel.com/products/compound-v-collectors-box
10.8	GFUEL_1527532962291196	G FUEL	97	STATIC	{{product.name}}	http://gfuel.com/
10.9	GFUEL_2291586364583776	G FUEL	97	STATIC	FREE Shaker + Up to 30% OFF	https://gfuel.com/pages/subscription-free-shaker-v1
10.10	GFUEL_1838854850859841	G FUEL	97	STATIC	Start Here. Fuel Everything.	https://gfuel.com/pages/subscription-free-shaker-v4
11.1	GFUEL_1609249960371055	G FUEL	97	VIDEO	{{product.name}}	https://gfuel.com/pages/subscription-free-shaker-v1
11.2	HexClad_1263963232260183	HexClad	195	STATIC	{{product.name}}	https://hexclad.com/
11.3	HexClad_1451861949724419	HexClad	195	STATIC	NEW RELEASE: 5.5QT Hybrid Deep Sauté Pan	https://hexclad.com/products/deep-saute-pan-with-lid
11.4	HexClad_1459868639003190	HexClad	195	STATIC	🔥NEW PRODUCT🔥	https://hexclad.com/products/hexgear-eco-modern-apron-slate
11.5	HexClad_2130649744366836	HexClad	195	STATIC	NEW: HYBRID PIZZA STEEL 🍕	https://hexclad.com/products/pizza-steel
11.6	HexClad_1205415661703289	HexClad	195	VIDEO	Engineered for the Perfect Pour	https://hexclad.com/pages/cocktail-shaker
11.7	HexClad_856595184042711	HexClad	195	STATIC	{{product.name}}	https://hexclad.com/pages/cocktail-shaker
11.8	HappyMammoth_4476925275862322	Happy Mammoth	21	VIDEO	3.3M women agree it works	https://store.happymammoth.com/pages/feel-balanced
11.9	HappyMammoth_1755322439148418	Happy Mammoth	21	VIDEO	Didn’t expect THIS	https://store.happymammoth.com/pages/slim-control
11.10	OPositiv_959093973520126	O Positiv	106	STATIC	{{product.name}}	https://opositiv.com/products/uro-vaginal-moisture-mood-capsules
12.1	HappyMammothUS_945849368488325	Happy Mammoth US	63	STATIC	{{product.name}}	https://store.happymammoth.com/pages/join-vip-club
12.2	HappyMammothUS_2445929282556448	Happy Mammoth US	63	STATIC	{{product.name}}	https://store.happymammoth.com/pages/feel-super-slim
12.3	HappyMammothUS_1560189715893154	Happy Mammoth US	63	STATIC	{{product.name}}	https://store.happymammoth.com/pages/we-got-you-mom
12.4	HappyMammothUS_1014403451063398	Happy Mammoth US	63	VIDEO	{{product.name}}	https://store.happymammoth.com/pages/feel-extra-slim
12.5	HappyMammothUS_1354520306606493	Happy Mammoth US	63	STATIC	{{product.name}}	https://store.happymammoth.com/pages/feel-balanced
12.6	SpoiledChild_799564552949558	SpoiledChild	300	VIDEO	Try Before You Buy	https://www.spoiledchild.com/spoiled-brain
12.7	SpoiledChild_1485418666088842	SpoiledChild	300	VIDEO	{{product.name}}	https://www.spoiledchild.com/spoiled-brain
12.8	SpoiledChild_1541591080176815	SpoiledChild	300	VIDEO	Try Before You Buy	https://www.spoiledchild.com/spoiled-brain
12.9	SpoiledChild_2013721169408282	SpoiledChild	238	VIDEO	Try A Full Size Product Before You Buy	https://www.spoiledchild.com/spoiled-brain
12.10	SpoiledChild_1415705376828949	SpoiledChild	233	VIDEO	SpoiledChild	https://www.spoiledchild.com/us-es/spoiled-brain
13.1	SpoiledChild_2407991446325114	SpoiledChild	233	VIDEO	Prueba antes de comprar	https://www.spoiledchild.com/us-es/spoiled-brain
13.2	Nood_1557380312711215	Nood	83	VIDEO	⭐⭐⭐⭐⭐ | 19,990 Reviews	https://trynood.com/products/the-flasher-2
13.3	Nood_2617468445377916	Nood	58	VIDEO	⭐⭐⭐⭐⭐ | 19,990 Reviews	https://trynood.com/products/the-flasher-pro
13.4	Bushbalm_1739545190598717	Bushbalm	27	VIDEO		https://bushbalm.com/pages/razor-burn
13.5	Ulike_1429928885808222	Ulike	274	VIDEO		https://www.ulike.com/products/sapphire-air-10-ipl-hair-removal
13.6	DollarShaveClub_1356336492786319	Dollar Shave Club	16	STATIC	Dollar Shave Club	https://us.dollarshaveclub.com/collections/womens
13.7	DollarShaveClub_2612590939144143	Dollar Shave Club	16	VIDEO	{{product.name}}	https://us.dollarshaveclub.com/products/womens-no-frills-starter-set
13.8	Hismile_980377991407026	Hismile	81	VIDEO	{{product.name}}	https://hismileteeth.com/products/exfoliating-tooth-wipes
13.9	Hismile_2520706991672854	Hismile	64	VIDEO	{{product.name}}	https://hismileteeth.com/products/best-seller-bundle/5-pack/
13.10	MANSCAPED_1559404805889097	MANSCAPED	43	STATIC	Trim The Fluff	https://www.manscaped.com/products/the-beard-hedger-plus
14.1	MANSCAPED_2029288567724880	MANSCAPED	16	STATIC	15% Off First Order When You Sign Up With Email	https://fb.com/canvas_doc/996054240033194
14.2	MANSCAPED_4572391046371918	MANSCAPED	16	VIDEO	{{product.name}}	https://www.manscaped.com/products/the-performance-package-5
14.3	MANSCAPED_1832706071428201	MANSCAPED	9	STATIC	15% Off First Order When You Sign Up With Email	https://www.manscaped.com/pages/bestsellers
14.4	MANSCAPED_2475434109619998	MANSCAPED	9	STATIC	Don't Procrastinate Like You Do Your Homework	https://www.manscaped.com/collections/deals-and-kits
14.5	MANSCAPED_2183455725553690	MANSCAPED	9	STATIC	{{product.name}}	https://www.manscaped.com/products/the-beard-and-balls-bundle
14.6	Billie_1597185351580278	Billie	139	STATIC	{{product.name}}	https://mybillie.com/pages/razor
14.7	Billie_1519245449547693	Billie	139	STATIC	{{product.name}}	https://mybillie.com/pages/where-to-buy
14.8	Billie_825051516698815	Billie	139	VIDEO	{{product.name}}	https://www.target.com/p/billie-shave-glaze-coco-villa-8oz/-/A-94854793
14.9	RoseSkinCo_1357264849600964	Rose Skin Co	77	VIDEO	Ditch the Razor. Forever. ✨	https://roseskinco.com/products/lumi-ipl-hair-removal-handset
14.10	RoseSkinCo_1668384704376714	Rose Skin Co	77	VIDEO	“Secret: I gave up waxing.”	https://roseskinco.com/products/lumi-ipl-hair-removal-handset
15.1	Fur_2019734538851378	Fur	311	STATIC	{{product.name}}	https://furyou.com/collections/best-sellers
15.2	Fur_1749116769078324	Fur	311	STATIC	{{product.name}}	http://furyou.com/
15.3	Fur_2034051063998695	Fur	309	VIDEO	{{product.name}}	https://furyou.com/pages/fur-trim-system
15.4	Fur_1608068983889162	Fur	298	VIDEO	{{product.name}}	https://furyou.com/products/fur-oil
15.5	Fur_836741906004560	Fur	206	STATIC	{{product.name}}	https://furyou.com/collections/best-sellers
15.6	Fur_1560750395037690	Fur	200	VIDEO	As Seen on Shark Tank	https://furyou.com/collections/best-sellers
15.7	Sugardoh_27001912079410125	Sugardoh	175	STATIC	{{product.name}}	https://sugardoh.co/collections/shop
15.8	Sugardoh_948009504824453	Sugardoh	121	VIDEO	Waxing, But Better	https://sugardoh.co/collections/shop
15.9	Sugardoh_2488992331583814	Sugardoh	44	VIDEO	Waxing, But Better	https://sugardoh.co/
15.10	OYOSkincare_1034987802235777	OYO Skincare	35	VIDEO	Carry-on approved hair removal routine	https://oyoskincare.com/pages/smooth-skin-system
16.1	OYOSkincare_1747823393123680	OYO Skincare	15	VIDEO	Ready for the "come over?" text	https://oyoskincare.com/pages/smooth-skin-system
16.2	OYOSkincare_1725006572165203	OYO Skincare	15	STATIC	{{product.name}}	https://oyoskincare.com/pages/smooth-skin-system
16.3	OYOSkincare_2301790503906730	OYO Skincare	1	STATIC	An easy routine for smooth skin	https://oyoskincare.com/pages/smooth-skin-system
16.4	touchland_2382171252273145	touchland	72	VIDEO	{{product.name}}	https://touchland.com/collections/hand-sanitizer
16.5	touchland_1357849392922740	touchland	71	STATIC	{{product.name}}	https://touchland.com/pages/performance
16.6	touchland_1017967964152359	touchland	65	VIDEO	{{product.name}}	https://touchland.attn.tv/p/ji0/Peanuts
16.7	touchland_1366324362104123	touchland	65	STATIC	touchland	https://touchland.com/collections/hand-sanitizer
16.8	touchland_1349283750628943	touchland	59	STATIC	{{product.name}}	https://touchland.com/products/peanuts-hand-body-mist-set
16.9	touchland_1074753635102337	touchland	44	VIDEO		https://touchland.com/collections/best-sellers
16.10	PAUME_1795692645207375	PAUME	85	VIDEO		https://mypaume.com/pages/serum-landing-page-2
17.1	PAUME_2056929591919461	PAUME	85	VIDEO		https://mypaume.com/pages/serum-landing-page-2
17.2	PAUME_1516687773521799	PAUME	85	STATIC	Dark spots? 🫳 Dry hands? Not With This.	https://mypaume.com/pages/listical-serum
17.3	PAUME_1563709898656759	PAUME	85	VIDEO		https://mypaume.com/pages/serum-landing-page-2
17.4	PAUME_1007446891771652	PAUME	85	VIDEO	Ready for Younger-Looking Hands?	https://mypaume.com/products/age-defying-essentials
17.5	PAUME_977875341770040	PAUME	85	VIDEO	🌱 Plant-Powered Protection for Parents 👶	https://mypaume.com/pages/listical-moms
17.6	Javvy_2404635569983581	Javvy	196	VIDEO	High‑Protein Coffee ☕️	https://try.javvycoffee.com/ps
17.7	MUDWTR_2234418820688661	MUD\WTR	15	VIDEO	Discover MUD\WTR	https://www.target.com/b/mud-wtr/-/N-q643lehlygs
17.8	MUDWTR_4374001626192108	MUD\WTR	12	VIDEO	Try MUD\WTR Now	https://mudwtr.com/pages/rise-2
17.9	Thesis_1603369911355474	Thesis	22	STATIC	Unlock Your Sharpest Mind	https://takethesis.com/new-clarity
17.10	Manukora_1685564882872999	Manukora	74	VIDEO	{{product.name}}	https://manukora.com/
18.1	Manukora_1005792155514391	Manukora	72	STATIC	{{product.name}}	https://manukora.com/products/superhoney-starter-kit-mgo-850-250g
18.2	Manukora_2528080557653798	Manukora	59	STATIC	{{product.name}}	https://manukora.com/pages/overview
18.3	Manukora_1350053907063613	Manukora	58	STATIC	Mānuka Honey: Save 31% + Free Gifts	https://manukora.com/products/manuka-honey-20-mgo850
18.4	Manukora_1719544129253720	Manukora	58	VIDEO	Mānuka Honey: Save 31% + Free Gifts	https://manukora.com/
18.5	Manukora_1027055203142834	Manukora	58	STATIC	Mānuka Honey: Save 31% + Free Gifts	https://manukora.com/pages/overview
